epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8596,0.94386,2.97321,1.2363,0.00847,0.79167,0.50346,0.41986,0.66422,3.48067,1.10229,0.00010002,0.00010002,0.00010002
2,66.2332,0.75338,2.51631,1.17562,0.00837,0.79167,0.56412,0.43965,0.64877,3.3562,1.10374,0.000212419,0.000212419,0.000212419
3,97.5875,0.8514,1.95328,1.23051,0.86731,0.54486,0.61552,0.45823,0.72585,3.14298,1.16696,0.000320197,0.000320197,0.000320197
4,128.448,0.69713,1.58523,1.14491,1,0.28639,0.61358,0.45062,0.7672,3.03351,1.2974,0.000423355,0.000423355,0.000423355
5,159.101,0.73118,1.54228,1.12234,0.92075,0.45833,0.58783,0.44185,0.88797,2.99098,1.4129,0.000521891,0.000521891,0.000521891
6,189.569,0.70906,1.44162,1.13612,0.93632,0.5,0.61214,0.44496,0.96058,2.95654,1.47309,0.000615806,0.000615806,0.000615806
7,220.258,0.74266,1.43776,1.11021,0.95122,0.54167,0.62531,0.44472,1.02572,2.89652,1.48283,0.000705101,0.000705101,0.000705101
8,250.903,0.77795,1.44685,1.14567,0.81131,0.41667,0.52764,0.35696,1.07326,2.77399,1.45915,0.000789775,0.000789775,0.000789775
9,280.959,0.71371,1.34811,1.12155,0.63906,0.5,0.57961,0.39352,1.0666,2.53222,1.38428,0.000869827,0.000869827,0.000869827
10,311.37,0.70289,1.46206,1.1349,0.61082,0.52367,0.5767,0.40251,1.11405,2.344,1.3649,0.000945259,0.000945259,0.000945259
11,341.892,0.70098,1.2609,1.11411,0.75316,0.70833,0.76376,0.49167,1.17778,2.16402,1.58068,0.00101607,0.00101607,0.00101607
12,371.929,0.74975,1.29809,1.175,0.74251,0.625,0.6995,0.45399,1.2494,2.22932,1.73814,0.00108226,0.00108226,0.00108226
13,401.62,0.73138,1.26822,1.11356,0.69593,0.54167,0.59733,0.39097,1.22266,2.68606,1.60707,0.00114383,0.00114383,0.00114383
14,431.851,0.78318,1.28497,1.14518,0.69593,0.54167,0.59733,0.39097,1.22266,2.68606,1.60707,0.00120078,0.00120078,0.00120078
15,462.309,0.74616,1.36622,1.14475,0.82759,0.45833,0.54097,0.32671,1.39621,2.89789,1.73756,0.00120491,0.00120491,0.00120491
16,492.728,0.68721,1.22042,1.0464,0.52996,0.375,0.38578,0.21342,1.4376,3.01199,1.83971,0.0011719,0.0011719,0.0011719
17,522.913,0.79096,1.3345,1.18879,0.68247,0.29167,0.38857,0.2558,1.49623,2.8182,1.90733,0.00113889,0.00113889,0.00113889
18,553.382,0.71049,1.21165,1.12774,0.75013,0.29167,0.37567,0.25448,1.48205,2.89479,1.89732,0.00110589,0.00110589,0.00110589
19,583.484,0.6802,1.26894,1.09889,0.92367,0.33333,0.47222,0.33133,1.29646,2.45991,1.7184,0.00107288,0.00107288,0.00107288
20,613.496,0.77147,1.29758,1.16763,0.81313,0.36342,0.51478,0.35578,1.20204,2.31153,1.66699,0.00103987,0.00103987,0.00103987
21,644.682,0.76713,1.29063,1.1726,0.85171,0.4794,0.62302,0.36288,1.28183,2.25183,1.77523,0.00100687,0.00100687,0.00100687
